institution,source_url,project_name,country,approval_date,amount_usd_m,YOUR_INSTRUMENT,YOUR_INSTRUMENT_REASON,description_excerpt
IDB Invest,https://idbinvest.org/en/projects/guayaquil-social-bond,Guayaquil Social Bond,Ecuador,7/27/2020,15,Senior Debt,,"The Project consists of supporting Banco Guayaquil (“BG”), as it issues its first social bond for Ecuador’s private sector. The total amount of the bond is up to US$30 million, and IDB Invest will take part as an investor, with a subscription of 100%. The proceeds from this medium-term social bond w"
IDB Invest,https://idbinvest.org/en/projects/banco-abc-social-bond,Banco ABC - Social Bond,Brazil,7/22/2020,19.8,Senior Debt,,The transaction consists of a Local Bond (Letras Financeiras) issuance for the equivalent in Brazilian reais of US$100 million for a tenor of five years bullet. The Letras Financeiras shall be classified as Social Bonds as per the International Capital Market Association’s Social Bond Principles. Th
IDB Invest,https://idbinvest.org/en/projects/dcm-project-15,DCM Project #15,Colombia,7/9/2020,0,Senior Debt,,"The project consists of a subscription to a social gender issue equivalent in Colombian pesos of up to US$100&nbsp;million, to be issued by a Colombian entity through an offer on Colombia’s second market. The issue will have a term of up to seven years, with a balloon payment of the principle upon m"
IDB Invest,https://idbinvest.org/en/projects/aes-el-salvador-deferred-electricity-receivables-purchase-facility,Facilidad para la Compra de Cuentas de Electricidad por Cobrar de AES El Salvador,El Salvador,7/2/2020,60,Senior Debt,transaction facilities are presumably senior debt?,"The proposed transaction is a payment facility to purchase accounts receivable for up to USD 120 million (""The Facility"" or ""The Transaction"") that will be used to discount electricity bills issued by four (4) electricity distribution companies in El Salvador: i) Compañía de Alumbrado Eléctrico de S"
IDB Invest,https://idbinvest.org/en/projects/financial-inclusion-social-bond,Financial Inclusion Social Bond,Peru,6/23/2020,0,Senior Debt,,The transaction consists of IDB Invest underwriting two bond issues by a Peruvian financial company for up to US$20 million: (i) a subordinated social bond aimed at equal opportunities for women-led micro and small enterprises denominated in Peruvian Soles (“PEN”) for up to the equivalent of US$10 m
IDB Invest,https://idbinvest.org/en/projects/promerica-cr-sustainable-bond-guarantee,Promerica CR – Sustainable Bond Guarantee,Costa Rica,6/10/2020,15,Senior Debt,,"The proposed transaction consists of a Guarantee Program denominated in United States Dollars (“US$”) of up to US$15 million, to support a US$50 million Sustainable Bond issuance by Banco Promerica de Costa Rica, S.A. (“Promerica CR”) in the panaminian market, to be funded by IDB Invest (the “Projec"
IDB Invest,https://idbinvest.org/en/projects/movistar-peru-financing-handsets-and-digital-services,Movistar Perú Financiamiento de Dispositivos Móviles y Servicios Digitales,Peru,6/5/2020,50,Senior Debt,transaction facilities are presumably senior debt?,The proposed transaction is a facility for the purchase of accounts receivable for up to US$50&nbsp;million (“Discount Facility” or “the Project”) that will be used to discount invoices from Telefónica del Perú S.A.A.’s (“Telefónica del Perú” or “the Company”) program to provide individual and corpo
IDB Invest,https://idbinvest.org/en/projects/credit-project-fund,Credit Project Fund,Brazil,5/29/2020,14.7,Equity,,The Inter-American Investment Corporation (IDB Invest) is considering an investment of up to US$150 million (in BRL equivalent) through the subscription of quotas of an investment fund in Brazil (the “Fund”). IDB Invest’s participation will allow the fund to reach the necessary scale to effectively 
IDB Invest,https://idbinvest.org/en/projects/konfio,Konfío,Mexico,12/18/2019,2.1,Guarantee,,"Konfío is an online platform that revolutionizes corporate credit processes in Mexico, making it easier for micro, small, and medium enterprises (""MSMEs"")&nbsp;to access formal financing through technology, data science, and efficient digital transactions. IDB Invest is considering granting a guaran"
IDB Invest,https://idbinvest.org/en/projects/project-dcm-13,Project DCM #13,Dominican Republic,11/20/2019,0,Senior Debt,,"IDB Invest is considering an investment of up to DOP 1,000 million in a private placement of a bond denominated in Dominican Pesos (""DOP"") to be issued by a Dominican financial institution. The bond issue will be divided in two tranches with a term of five years and a single payment of capital at ma"
IDB Invest,https://idbinvest.org/en/projects/banistmo-social-bond-gender-focus,Banistmo Social Bond with a Gender Focus,Panama,7/16/2019,50,Senior Debt,,"The project consists in the subscription of the first Social Bond with a Gender focus, to be issued by Banistmo S.A. (“Banistmo”) in the local market (private placement) for up to US$30 million, bullet, in a maximum five-year term. The proceeds will be used to finance projects with high positive soc"
IDB Invest,https://idbinvest.org/en/projects/project-dcm-10,Project DCM #10,Colombia,6/18/2019,0,Senior Debt,,"The project consists of a subscription to a sustainable bond issue for up to COP$657,000 million to be issued by a Colombian entity through an offer on Colombia’s second market (segundo mercado). The bond issue will be divided in two tranches with a term of five and ten years, with a single payment "
IDB Invest,https://idbinvest.org/en/projects/mabe,MABE,Mexico,4/16/2019,50,Senior Debt,transaction facilities are presumably senior debt?,"The Project with Mabe is an Uncommitted Revolving Payment Services Facility for US$50 million, or its equivalent in Mex$ (the “Facility”), to provide payment services for suppliers of Mabe or its eligible subsidiaries. The Facility will have an initial tenor of 12 months, renewable on a yearly basis"
IDB Invest,https://idbinvest.org/en/projects/bice-sustainable-bond,BICE Sustainable Bond,Argentina,11/29/2018,12,Senior Debt,,The project consists of an investment of up to US$30 million in a maximum 5-year term sustainable bond to be issued by Banco de Inversión y Comercio Exterior S.A. (“BICE”). Issue of this sustainable bond will be the first of its kind in Argentina; the proceeds will be used to finance projects with h
IDB Invest,https://idbinvest.org/en/projects/banco-pichincha-green-bond,BANCO PICHINCHA - Green Bond,Ecuador,11/8/2018,20,Senior Debt,,This project consists in supporting the first green bond issuance by a private sector entity in Ecuador. Banco Pichincha is issuing green bonds in the local market under a US$250 million program. The bonds will have a maturity of up to five years. The proposal of IDB Invest is to subscribe up to US$
IDB Invest,https://idbinvest.org/en/projects/prodigy-finance-student-loans,Prodigy Finance Student Loans,Latin America Regional,,70,Senior Debt,,"The project consists on the issuance of debt securities under a private placement of up to two hundred million United Stated dollars ($200,000,00.00) (the “Securities”) in order to finance post-graduate student loans. At least 50% of the student loans will be for Latin American and Caribbean student"
